"CATID","ellip","z_spec","Mstar","g_i","M_r","CUBEID","CUBEIDPUB","SIGMA_3_ARCSECOND","SIGMA_3_ARCSECOND_ERR","TYPE","SFR_3_ARCSECOND","SFR_3_ARCSECOND_ERR","WARNSKER","WARNZ"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390_A","208.3299255371","1.9174231291","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390_A","208.3299255371","1.9174231291","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390_A","208.3299255371","1.9174231291","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390_A","208.3299255371","1.9174231291","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390_A","208.3299255371","1.9174231291","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390_A","208.3299255371","1.9174231291","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.2307471782","0.1697969586","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.2201363593","0.131249547","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390_C","None","None","0.5","0.0331851318","None","0","0"
"17390","0.1676000059","0.0918100029","11.0600004196","1.2799999714","-22.3299999237","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390_B","None","None","0.5","0.2307471782","0.1697969586","0","0"
