"CATID","ellip","z_spec","Mstar","g_i","M_r","CUBEID","CUBEIDPUB","SIGMA_3_ARCSECOND","SIGMA_3_ARCSECOND_ERR","TYPE","SFR_3_ARCSECOND","SFR_3_ARCSECOND_ERR","WARNSKER","WARNZ"
"71352","0.2137999982","0.0364100002","9.3199996948","1.2000000477","-17.8899993896","71352_blue_red_7_Y14SAR4_P003_12T065_2014_05_23-2014_06_01","71352_A","None","None","0.0","None","None","0","1"
"78530","0.2188999951","0.0562699996","10.8599996567","1.2000000477","-21.8400001526","78530_blue_red_7_Y14SAR3_P002_15T077_2016_04_04-2016_04_12","78530_A","175.0193939209","1.5375628471","0.5","0.0017076064","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79706_A","None","None","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79706_C","58.7299957275","3.1325993538","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","0.0001814738","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","None","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","0.0001156447","None","0","0"
"79706","0.1103999987","0.0433499999","9.3000001907","1.2200000286","-17.7999992371","79706_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79706_B","None","None","0.0","0.0001814738","None","0","0"
"79733","0.2469000071","0.0231899992","10.2299995422","1.0900000334","-20.3199996948","79733_blue_red_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05","79733_A","79.5042572021","0.8292977214","0.5","0.0100175329","0.0017876207","0","0"
"79750","0.2540999949","0.0997200012","10.9799995422","1.2300000191","-22.2199993134","79750_blue_red_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19","79750_A","180.5001068115","1.9086741209","0.0","0.0256200004","None","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","79810_B","None","None","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","79810_C","None","None","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0267745983","0.0106242197","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0184424836","0.005645026","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0180329327","0.0048125321","0","0"
"79810","0.1149000004","0.0432000011","10.0","1.0299999714","-19.9599990845","79810_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","79810_A","75.3722305298","0.9150089025","0.0","0.0267745983","0.0106242197","0","0"
"79866","0.2657000124","0.0439300016","10.6400003433","1.2300000191","-21.1599998474","79866_blue_red_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19","79866_A","179.6859283447","1.5648310184","0.0","0.0108558657","0.0057789497","0","0"
"84106","0.0637999997","0.0279399995","9.9300003052","1.1299999952","-19.4200000763","84106_blue_red_7_Y14SAR4_P005_12T067_2014_05_23-2014_06_01","84106_A","125.7025299072","0.8948246837","0.5","0.000848151","None","0","0"
"84209","0.1225999966","0.1039799973","11.0600004196","1.3799999952","-22.2099990845","84209_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16","84209_A","197.2305755615","2.1784300804","0.0","0.2110367119","0.1593017727","0","0"
"84734","0.2225999981","0.0763899982","11.0699996948","1.25","-22.3199996948","84734_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01","84734_A","227.0265655518","1.7452481985","0.5","0.083560057","0.0305927694","0","0"
"85205","0.0206000004","0.0493699983","10.2100000381","1.1799999475","-20.1800003052","85205_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19","85205_A","122.0989074707","2.13666749","0.0","0.0066674473","0.0046635596","0","0"
"85559","0.1058000028","0.0785700008","10.6499996185","1.1599999666","-21.4400005341","85559_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01","85559_A","166.3412628174","1.8945556879","0.0","0.0085760094","None","0","0"
"85667","0.0948999971","0.0746999979","11.0","1.2100000381","-22.25","85667_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01","85667_A","188.4356994629","1.5728330612","0.0","None","None","0","0"
"91545","0.0863000005","0.0529399998","10.470000267","1.2400000095","-20.7299995422","91545_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16","91545_A","172.0033874512","1.7219568491","0.0","0.014549613","None","0","0"
"91568","0.3219000101","0.0266299993","9.9499998093","1.1200000048","-19.5900001526","91568_blue_red_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10","91568_A","158.4629821777","1.2508640289","0.5","0.0040868721","None","0","0"
"91689","0.1831","0.0543499999","10.2100000381","1.1699999571","-20.2299995422","91689_blue_red_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10","91689_A","161.5136566162","1.9199213982","0.0","0.0007912898","None","0","0"
"91691","0.0964000002","0.0547499992","10.5100002289","1.2799999714","-20.75","91691_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","91691_A","115.4303512573","2.4445242882","0.5","0.0633419082","0.0424514264","0","0"
"91697","0.2488999963","0.0537699983","10.6400003433","1.1499999762","-21.3700008392","91697_blue_red_7_Y14SAR3_P010_15T085_2016_05_02-2016_05_10","91697_A","137.0489044189","1.1859440804","0.5","0.013328379","None","0","0"
"91961","0.1489000022","0.0773700029","11.029999733","1.2899999619","-22.1700000763","91961_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","91961_A","None","None","0.5","0.0170887504","None","0","0"
"91963","0.2233999968","0.0499899983","11.0399999619","1.1900000572","-22.2600002289","91963_blue_red_7_Y13SAR1_P014_15T029_2013_04_12-2013_04_16","91963_A","187.1246948242","1.5495214462","0.0","0.2351099551","0.0377983488","0","0"
"91988","0.3235000074","0.0521200001","11.1400003433","1.2300000191","-22.4300003052","91988_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","91988_A","309.373626709","2.4991083145","0.5","None","None","0","0"
"91989","0.0944999978","0.0532799996","10.25","1.1599999666","-20.3600006104","91989_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01","91989_A","None","None","0.0","0.0003850482","None","0","0"
"92773","0.0284000002","0.0542800017","10.8500003815","1.2200000286","-21.75","92773_blue_red_10_Y13SAR1_P015_15T023_2013_04_12-2013_04_16","92773_A","177.6451721191","1.4984079599","0.0","0.0117713753","None","0","0"
"93803","0.172299996","0.039859999","10.9399995804","1.1299999952","-22.1000003815","93803_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","93803_A","158.418548584","1.0014016628","0.0","0.0038594317","None","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","93807_B","None","None","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","93807_A","158.7681274414","1.0684114695","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0336601287","0.0248348061","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0309500173","0.0194104798","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0254392754","0.0126697095","0","0"
"93807","0.0895000026","0.0404400006","10.6599998474","1.1599999666","-21.3500003815","93807_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","93807_C","None","None","0.0","0.0336601287","0.0248348061","0","0"
"97915","0.0274","0.0752200037","10.9300003052","1.3400000334","-21.7700004578","97915_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","97915_A","230.0935211182","2.1935477257","0.5","0.0108463354","None","0","0"
"98880","0.2275999933","0.0852599964","11.1999998093","1.2999999523","-22.6299991608","98880_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01","98880_A","239.1659851074","1.6678313017","0.0","0.0043299878","None","0","0"
"99428","0.0689999983","0.02042","10.8400001526","1.1900000572","-21.6399993896","99428_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01","99428_A","141.8830413818","0.9336678386","0.0","0.0029135286","0.0007378274","0","0"
"106549","0.0423000008","0.0318600014","10.2700004578","0.8399999738","-20.9799995422","106549_blue_red_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","106549_A","74.5897521973","1.0282855034","0.5","0.0993622094","0.006945","0","0"
"107137","0.2213000059","0.0140699996","10.1599998474","1.0","-20.3099994659","107137_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","107137_A","73.4765167236","0.7951638103","0.5","0.0042099454","0.0004075934","0","0"
"107528","0.1656000018","0.0332700014","11.029999733","1.1699999571","-22.2099990845","107528_blue_red_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19","107528_A","182.616973877","1.2464209795","0.0","0.0248276945","0.006015711","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_7_Y15SAR3_P005_12T094_2017_04_19-2017_05_01","136238_B","177.3592529297","1.4177879095","0.5","0.0835753083","0.0134437857","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_7_Y15SAR3_P005_12T094_2017_04_19-2017_05_01","136238_B","177.3592529297","1.4177879095","0.5","0.0759141296","0.0124735292","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_7_Y15SAR3_P005_12T094_2017_04_19-2017_05_01","136238_B","177.3592529297","1.4177879095","0.5","0.0835753083","0.0134437857","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_7_Y15SAR3_P005_12T094_2017_04_19-2017_05_01","136238_B","177.3592529297","1.4177879095","0.5","0.0759141296","0.0124735292","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_12_Y15SAR3_P005_12T094_2017_03_24-2017_04_02","136238_A","None","None","0.5","0.0835753083","0.0134437857","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_12_Y15SAR3_P005_12T094_2017_03_24-2017_04_02","136238_A","None","None","0.5","0.0759141296","0.0124735292","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_12_Y15SAR3_P005_12T094_2017_03_24-2017_04_02","136238_A","None","None","0.5","0.0835753083","0.0134437857","0","0"
"136238","0.2497999966","0.0472900011","10.8199996948","1.2100000381","-21.6599998474","136238_blue_red_12_Y15SAR3_P005_12T094_2017_03_24-2017_04_02","136238_A","None","None","0.5","0.0759141296","0.0124735292","0","0"
"136602","0.2395000011","0.0446100011","11.3699998856","1.25","-22.9599990845","136602_blue_red_7_Y14SAR1_P004_12T044_2015_02_16-2015_02_25","136602_A","None","None","0.0","0.0142688919","None","0","0"
"136605","0.110299997","0.1036100015","11.0200004578","1.3899999857","-22.0799999237","136605_blue_red_7_Y14SAR4_P009_12T071_2016_04_04-2016_04_12","136605_A","238.1993865967","2.554161787","0.0","0.0108985035","None","0","0"
"136842","0.1897999942","0.02709","10.8000001907","1.1900000572","-21.5900001526","136842_blue_red_7_Y14SAR1_P004_12T044_2015_02_16-2015_02_25","136842_A","181.0568084717","0.9662178159","0.0","0.0050518652","0.0014817454","0","0"
"136871","0.2619999945","0.0263800006","9.7299995422","1.1499999762","-19.0","136871_blue_red_6_Y14SAR3_P002_12T053_2016_04_04-2016_04_12","136871_A","91.1024246216","1.5896866322","0.5","0.0011061371","None","0","0"
"137037","0.2179999948","0.0923099965","11.2399997711","1.3500000238","-22.6200008392","137037_blue_red_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01","137037_A","296.2257080078","2.851067543","0.5","0.3883458376","0.2645490468","0","0"
"137838","0.2108999938","0.0198999997","11.0500001907","1.2599999905","-22.0100002289","137838_blue_red_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19","137838_A","236.9270782471","1.077468276","0.0","0.0064123939","None","0","0"
