CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
508593,0.0909999982,0.0564699993,10.5799999237,-21.1900005341,4.0900001526,0.1896271855,0.0108144507,135.4603424072,1.8523445129,0.5
508632,0.208100006,0.0567199998,10.5600004196,-21.2099990845,4.4099998474,0.212226212,0.0085947523,80.5314025879,1.074332118,0.5
508751,0.2655999959,0.0522699989,10.2299995422,-20.3500003815,1.4299999475,,,109.6375808716,1.7946584225,0.5
509075,0.1136000007,0.0504099987,10.5200004578,-20.9500007629,4.1900000572,0.2533271015,0.0081363181,131.7769317627,1.4296042919,0.0
517205,0.2140000015,0.0765099972,11.2399997711,-22.6399993896,6.7600002289,0.0906900465,0.0063636848,244.9363708496,2.7031414509,0.0
517278,0.4133999944,0.0281300005,11.0600004196,-22.0300006866,5.3099999428,0.3256635368,0.0025847263,247.6589050293,1.1225458384,0.5
518829,0.3977000117,0.0384300016,9.9300003052,-19.5599994659,1.8799999952,0.2718379498,0.0141207036,99.4152832031,1.2936141491,0.5
519141,0.164199993,0.0859099999,10.9200000763,-22.0499992371,2.7899999619,0.2148241103,0.0072898651,162.7945556641,1.3534559011,0.5
521823,0.0557999983,0.0783400014,10.9399995804,-21.8899993896,3.2100000381,0.09386044,0.0115285255,163.5314178467,2.1315164566,0.0
534760,0.1794999987,0.0525600016,10.720000267,-21.4099998474,5.0700001717,0.3815544844,0.0063287774,146.5548400879,1.2773239613,0.0
536454,0.1775999963,0.0598899983,11.0799999237,-22.3199996948,6.6900000572,0.1150824204,0.0038510999,249.1312561035,2.4169406891,0.0
536963,0.3172999918,0.0829299986,10.9200000763,-21.7800006866,2.5699999332,0.3221762776,0.008035169,220.2948150635,1.984672904,0.5
543489,0.076700002,0.0531199984,10.9300003052,-21.9799995422,5.2100000381,0.1078929976,0.0068576154,153.2646179199,1.3987966776,0.0
543531,0.2558000088,0.0526000001,10.4099998474,-20.7099990845,2.8800001144,0.1312626898,0.0100575881,142.3636474609,1.7979581356,0.5
543553,0.2561999857,0.054779999,10.3500003815,-20.5200004578,3.4900000095,0.3407820165,0.0139857307,99.3006210327,1.6275744438,0.5
548835,0.1825000048,0.0788500011,10.8100004196,-21.6299991608,3.4100000858,0.0681490451,0.0089401808,199.4700164795,1.9503275156,0.5
549070,0.1165999994,0.052170001,10.0699996948,-19.8299999237,0.9900000095,,,128.6237487793,2.2987661362,0.5
549296,0.0800999999,0.052170001,10.9499998093,-21.8999996185,5.0,0.0906665772,0.005313037,183.1146697998,1.3320322037,0.0
551505,0.34830001,0.0562699996,11.3400001526,-22.7299995422,7.5100002289,0.3558344245,0.0047776699,279.4266357422,2.2859477997,0.5
551619,0.0688000023,0.0562699996,10.1899995804,-20.0900001526,1.1499999762,,,135.5598144531,2.1185891628,0.0
559250,0.0917999968,0.0921700001,10.9600000381,-21.9799995422,4.3899998665,0.271643728,0.0161594767,151.4589996338,3.9630322456,0.5
559490,0.0758000016,0.0474399999,10.2899999619,-20.4799995422,2.7000000477,0.1116976887,0.011466912,87.7710647583,1.355384469,0.0
560982,0.252700001,0.0505300015,10.3100004196,-20.5,1.4500000477,,,176.5602111816,1.7383131981,0.5
570203,0.1748999953,0.0426100008,10.779999733,-21.5599994659,5.3200001717,0.1171042174,0.0051209256,209.6997833252,1.6880084276,0.5
574423,0.2612999976,0.0535999984,10.7399997711,-21.4099998474,4.3800001144,0.2041345835,0.0062859599,174.9735107422,1.4481098652,0.5
575339,0.0140000004,0.0575900003,10.4099998474,-20.7399997711,1.6599999666,0.0521309823,0.0122442786,85.8895950317,1.4190829992,0.0
583723,0.1143999994,0.0932400003,11.1999998093,-22.5900001526,7.0999999046,0.1175869927,0.0095252069,234.5438842773,4.7173318863,0.0
585196,0.2273000032,0.0923200026,10.5500001907,-21.0200004578,1.9800000191,0.1428385824,0.0175925512,139.7058258057,2.4827122688,0.5
585215,0.1342000067,0.0927800015,11.029999733,-22.1000003815,3.0999999046,0.0814333856,0.0079223085,214.4275665283,2.1315670013,0.0
594946,0.2761999965,0.0439000018,9.8800001144,-19.3400001526,2.5299999714,0.4233563542,0.0373350978,71.9592895508,2.8807661533,0.5
599834,0.0703999996,0.052099999,11.2100000381,-22.6299991608,5.9600000381,0.072152622,0.0047588879,223.4321899414,1.4407627583,0.0
599838,0.1477999985,0.0409100018,11.1499996185,-22.4500007629,5.6300001144,0.0437468924,0.0027609149,200.9032440186,0.7599849701,0.0
600743,0.3014000058,0.0696500018,10.9600000381,-21.9799995422,3.2000000477,0.127350837,0.005407589,204.8700714111,1.603884697,0.5
600882,0.3612999916,0.0541899987,10.279999733,-20.3899993896,1.3999999762,,,124.8530731201,1.6039514542,0.5
600973,0.4341000021,0.0540300012,10.3800001144,-20.8299999237,2.0999999046,0.0976651758,0.0088035958,138.9214172363,1.4082698822,0.5
601283,0.2446999997,0.0563100018,10.1700000763,-20.2199993134,5.4200000763,0.1755022109,0.0225707367,146.0278625488,4.1600832939,0.0
618151,0.066200003,0.0503300019,10.5200004578,-20.9300003052,2.2599999905,0.1644168198,0.0072611002,148.3534393311,1.2675493956,0.0
618912,0.2709000111,0.055780001,10.3400001526,-20.4300003052,2.4900000095,0.2066264004,0.0121301459,123.1965179443,1.5579314232,0.5
618929,0.0038999999,0.0557599999,11.3299999237,-22.8099994659,4.3499999046,0.1246000901,0.0031315647,303.8958435059,1.9043943882,0.0
618930,0.3010999858,0.0556299984,10.4899997711,-20.75,1.3300000429,,,193.0397796631,2.4776139259,0.5
618931,0.1828999966,0.0537599996,10.1800003052,-20.0599994659,1.3500000238,,,99.3835678101,2.6987259388,0.0
618937,0.1978999972,0.055470001,10.2899999619,-20.4400005341,2.7400000095,0.2482287735,0.0137168681,115.3521575928,1.8226021528,0.5
618942,0.139200002,0.055780001,10.5600004196,-21.0400009155,3.5799999237,0.3017855585,0.0099796541,118.5054626465,1.4759191275,0.0
618947,0.2436999977,0.0559200011,10.5900001526,-21.0400009155,2.2899999619,0.1985328496,0.0083103981,154.5574798584,1.45969069,0.5
619258,0.0775000006,0.0571100004,10.0699996948,-19.8999996185,1.6100000143,0.0859192684,0.0122876232,154.2944488525,2.1495027542,0.0
622350,0.0825000033,0.0873299986,11.1000003815,-22.2900009155,4.8899998665,0.1371302605,0.0109525602,204.2010955811,2.767676115,0.0
623017,0.0800999999,0.0699599981,10.8500003815,-21.7099990845,4.6500000954,0.3710981607,0.0108351661,164.3748626709,2.5956158638,0.5
663440,0.1308999956,0.0230700001,9.9499998093,-19.7900009155,2.3599998951,0.0851211697,0.0078397924,78.8839645386,0.9526663423,0.5
