CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
70808,0.0164999999,0.04067,10.0799999237,-19.8600006104,2.5999999046,0.0704975724,0.0117060719,88.6407165527,1.340632081,0.0
71178,0.248999998,0.0746499971,11.0,-22.1100006104,4.4600000381,0.1821366698,0.0081602931,179.9675292969,2.1208295822,0.5
78530,0.2188999951,0.0562699996,10.8599996567,-21.8400001526,3.7799999714,0.278668344,0.0065031373,173.9488830566,1.6957587004,0.5
79706,0.1103999987,0.0433499999,9.3000001907,-17.7999992371,0.6200000048,,,55.2687301636,3.9828944206,0.0
79733,0.2469000071,0.0231899992,10.2299995422,-20.3199996948,4.8600001335,0.1739654243,0.0059465328,76.8936538696,0.749391675,0.5
79750,0.2540999949,0.0997200012,10.9799995422,-22.2199993134,3.4000000954,0.0776283368,0.0098015163,176.9741516113,1.881750226,0.0
79810,0.1149000004,0.0432000011,10.0,-19.9599990845,1.4600000381,,,75.3546524048,1.1502255201,0.0
79866,0.2657000124,0.0439300016,10.6400003433,-21.1599998474,3.4300000668,0.2202443033,0.005728316,171.947845459,1.2238675356,0.0
84106,0.0637999997,0.0279399995,9.9300003052,-19.4200000763,2.6800000668,0.3272404969,0.0057837619,125.119178772,0.8876862526,0.5
84209,0.1225999966,0.1039799973,11.0600004196,-22.2099990845,3.0599999428,0.2649613619,0.0097514782,190.6849822998,1.9225414991,0.0
84734,0.2225999981,0.0763899982,11.0699996948,-22.3199996948,5.8699998856,0.2196822613,0.0059156339,207.7765350342,2.0322220325,0.5
85205,0.0206000004,0.0493699983,10.2100000381,-20.1800003052,2.4000000954,0.0780123025,0.0143168373,122.3124237061,1.8120293617,0.0
85559,0.1058000028,0.0785700008,10.6499996185,-21.4400005341,3.75,0.1403300613,0.0108512761,157.58253479,2.0380980968,0.0
85667,0.0948999971,0.0746999979,11.0,-22.25,3.3499999046,0.053345792,0.0057511767,178.6609802246,1.4250692129,0.0
91545,0.0863000005,0.0529399998,10.470000267,-20.7299995422,1.9900000095,0.0917705297,0.0082050795,170.1806640625,1.7286655903,0.0
91568,0.3219000101,0.0266299993,9.9499998093,-19.5900001526,1.3899999857,,,156.2806854248,1.2860182524,0.5
91689,0.1831,0.0543499999,10.2100000381,-20.2299995422,1.8899999857,0.1322439015,0.0103329252,160.9820861816,1.8988417387,0.0
91691,0.0964000002,0.0547499992,10.5100002289,-20.75,3.6800000668,0.3150746524,0.0157716777,116.9711685181,2.4017167091,0.5
91697,0.2488999963,0.0537699983,10.6400003433,-21.3700008392,3.4900000095,0.3553740978,0.0062170899,133.4397888184,1.1497620344,0.5
91963,0.2233999968,0.0499899983,11.0399999619,-22.2600002289,7.3600001335,0.4889773726,0.0056040264,185.7447509766,1.7154676914,0.0
91988,0.3235000074,0.0521200001,11.1400003433,-22.4300003052,6.2699999809,0.0879016295,0.0046838424,300.4580078125,2.7953467369,0.5
92773,0.0284000002,0.0542800017,10.8500003815,-21.75,3.5899999142,0.171440348,0.0075594219,174.5278625488,1.4031779766,0.0
93803,0.172299996,0.039859999,10.9399995804,-22.1000003815,4.6100001335,0.0612893961,0.0037111747,157.4171295166,0.9399947524,0.0
93807,0.0895000026,0.0404400006,10.6599998474,-21.3500003815,4.0700001717,0.2464238852,0.0031520906,143.455581665,0.990201354,0.0
97915,0.0274,0.0752200037,10.9300003052,-21.7700004578,4.0999999046,0.1054967791,0.0081583178,213.6005096436,2.3699054718,0.5
98880,0.2275999933,0.0852599964,11.1999998093,-22.6299991608,4.7699999809,0.0893905386,0.004299955,224.2881317139,1.5080982447,0.0
106549,0.0423000008,0.0318600014,10.2700004578,-20.9799995422,3.1400001049,0.2227084637,0.0062527913,72.6503601074,0.8689262867,0.5
136605,0.110299997,0.1036100015,11.0200004578,-22.0799999237,1.8600000143,0.0810522437,0.0094915377,237.0084686279,2.6172664165,0.0
